CAMERA_ID,CITY,EQUIP_TYPE,JUDGMENT_CLEAN,LONGITUDE,LATITUDE
KH0319,KS,固定式交通違規照相路段,闖紅燈,120.321806,22.633484
KH0320,KS,固定式交通違規照相路段,闖紅燈,120.2942,22.620948
KH0321,KS,固定式交通違規照相路段,闖紅燈,120.338216,22.629907
KH0322,KS,固定式交通違規照相路段,超速,120.303607,22.616147
KH0323,KS,固定式交通違規照相路段,超速,120.302654,22.619112
KH0324,KS,固定式交通違規照相路段,闖紅燈,120.335901,22.623599
KH0325,KS,固定式交通違規照相路段,闖紅燈,120.321106,22.629811
KH0326,KS,固定式交通違規照相路段,未依標誌標線行駛,120.336708,22.630255
KH0327,KS,固定式交通違規照相路段,超速,120.339462,22.625674
KH0328,KS,固定式交通違規照相路段,超速,120.320038,22.630128
KH0329,KS,固定式交通違規照相路段,超速,120.325019,22.629728
KH0330,KS,固定式交通違規照相路段,闖紅燈,120.3182,22.628725
KH0331,KS,固定式交通違規照相路段,闖紅燈,120.33634,22.62665
KH0332,KS,固定式交通違規照相路段,闖紅燈,120.341863,22.624517
KH0333,KS,固定式交通違規照相路段,闖紅燈,120.325806,22.620935
KH0334,KS,固定式交通違規照相路段,闖紅燈,120.324059,22.623761
KH0335,KS,固定式交通違規照相路段,闖紅燈,120.332179,22.627617
KH0336,KS,固定式交通違規照相路段,闖紅燈,120.322668,22.62992523
KH0337,KS,固定式交通違規照相路段,闖紅燈,120.301213,22.615891
KH0338,KS,固定式交通違規照相路段,闖紅燈,120.191057,22.882756
KH0339,KS,固定式交通違規照相路段,超速,120.367185,22.659476
KH0340,KS,固定式交通違規照相路段,闖紅燈,120.244676,22.886343
KH0341,KS,固定式交通違規照相路段,闖紅燈、超速,120.225013,22.876429
KH0342,KS,固定式交通違規照相路段,闖紅燈,120.306849,22.627457
KH0343,KS,固定式交通違規照相路段,超速,120.3021,22.6352
KH0344,KS,固定式交通違規照相路段,闖紅燈,120.332864,22.735595
KH0345,KS,固定式交通違規照相路段,闖紅燈,120.277368,22.722903
KH0346,KS,固定式交通違規照相路段,闖紅燈,120.310349,22.726525
KH0347,KS,固定式交通違規照相路段,闖紅燈,120.336875,22.740109
KH0348,KS,固定式交通違規照相路段,闖紅燈,120.302536,22.707396
KH0349,KS,固定式交通違規照相路段,超速,120.2769165,22.7236068
KH0350,KS,固定式交通違規照相路段,超速,120.325355,22.717821
KH0351,KS,固定式交通違規照相路段,闖紅燈,120.303934,22.717357
KH0352,KS,固定式交通違規照相路段,闖紅燈、超速,120.320147,22.732938
KH0353,KS,固定式交通違規照相路段,闖紅燈,120.320147,22.732938
KH0354,KS,固定式交通違規照相路段,闖紅燈,120.30323,22.725397
KH0355,KS,固定式交通違規照相路段,闖紅燈,120.302799,22.712769
KH0356,KS,固定式交通違規照相路段,闖紅燈,120.332134,22.7219426
KH0357,KS,固定式交通違規照相路段,闖紅燈,120.329949,22.723923
KH0358,KS,固定式交通違規照相路段,闖紅燈,120.325979,22.714525
KH0359,KS,固定式交通違規照相路段,闖紅燈、超速,120.3129258,22.7210418
KH0360,KS,固定式交通違規照相路段,闖紅燈,120.292526,22.878794
KH0361,KS,固定式交通違規照相路段,闖紅燈、超速,120.260404,22.880973
KH0362,KS,固定式交通違規照相路段,闖紅燈、超速,120.274459,22.8470179
KH0363,KS,固定式交通違規照相路段,闖紅燈,120.261247,22.854364
KH0364,KS,固定式交通違規照相路段,超速,120.286462,22.831895
KH0365,KS,固定式交通違規照相路段,闖紅燈,120.266078,22.829268
KH0366,KS,固定式交通違規照相路段,闖紅燈,120.300266,22.66123
KH0367,KS,固定式交通違規照相路段,闖紅燈、超速,120.292238,22.65287
KH0368,KS,固定式交通違規照相路段,闖紅燈,120.292452,22.662758
KH0369,KS,固定式交通違規照相路段,超速,120.275779,22.659278
KH0370,KS,固定式交通違規照相路段,闖紅燈,120.279124,22.620316
KH0371,KS,固定式交通違規照相路段,超速,120.2890132,22.6674554
KH0372,KS,固定式交通違規照相路段,超速,120.4732,22.883623
KH0373,KS,固定式交通違規照相路段,闖紅燈,120.481135,22.898965
KH0374,KS,固定式交通違規照相路段,超速,120.462392,22.836104
KH0375,KS,固定式交通違規照相路段,闖紅燈,120.485499,22.887807
KH0376,KS,固定式交通違規照相路段,超速,120.4934027,22.9133896
KH0377,KS,固定式交通違規照相路段,超速,120.460945,22.805735
KH0378,KS,固定式交通違規照相路段,超速,120.508475,22.943382
KH0379,KS,固定式交通違規照相路段,超速,120.504726,22.845268
